S.No,State Name,Beneficiaries at rural/semi-urban centre bank branches,Beneficiaries at urban/metro centre bank branches,Total Beneficiaries,Balance in beneficiary accounts (in crore),No. of RuPay cards issued to beneficiaries,state_norm,Rural_Share,Urban_Share
1,Andaman And Nicobar Islands,43496,19030,62526,43.44,37806,Andaman and Nicobar Islands,0.69564661100982,0.69564661100982
2,Andhra Pradesh,8492594,7569509,16062103,5241.07,10328728,Andhra Pradesh,0.5287348736339196,0.5287348736339196
3,Arunachal Pradesh,345540,125629,471169,280.85,316808,Arunachal Pradesh,0.7333674329168515,0.7333674329168515
4,Assam,19581277,5397305,24978582,6632.38,14759818,Assam,0.7839226822403289,0.7839226822403289
5,Bihar,46738141,17800278,64538419,25102.99,46698178,Bihar,0.7241909814989426,0.7241909814989426
6,Chandigarh,47356,289149,336505,197.02,215309,Chandigarh,0.14072896390841147,0.14072896390841147
7,Chhattisgarh,12878618,5446745,18325363,8890.41,11137330,Chhattisgarh,0.702775601225471,0.702775601225471
8,Delhi,637066,6167837,6804903,3327.91,5240021,Delhi,0.09361867465267323,0.09361867465267323
9,Goa,180364,38624,218988,196.03,154817,Goa,0.8236250388149122,0.8236250388149122
10,Gujarat,11570050,7838065,19408115,10835.48,14764579,Gujarat,0.596144963073436,0.596144963073436
11,Haryana,5366349,5325971,10692320,7179.32,7340158,Haryana,0.5018881776826731,0.5018881776826731
12,Himachal Pradesh,1837137,169153,2006290,1480.44,1321731,Himachal Pradesh,0.91568865916692,0.91568865916692
13,Jammu And Kashmir,1802846,435646,2238492,1674.07,1801442,Jammu and Kashmir,0.805384160407989,0.805384160407989
14,Jharkhand,16444540,3360500,19805040,10387.29,13511458,Jharkhand,0.8303209688039004,0.8303209688039004
15,Karnataka,12088049,8634832,20722881,10946.28,12915989,Karnataka,0.5833189410294833,0.5833189410294833
16,Kerala,4251596,2790868,7042464,3376.21,3814517,Kerala,0.6037085883577111,0.6037085883577111
17,Ladakh,14445,4823,19268,24.72,14349,Ladakh,0.7496886028648536,0.7496886028648536
18,Lakshadweep,8192,1997,10189,18.32,7788,Lakshadweep,0.8040043183825695,0.8040043183825695
19,Madhya Pradesh,27802333,17859751,45662084,16331.17,34026565,Madhya Pradesh,0.6088713121372209,0.6088713121372209
20,Maharashtra,20087811,16474759,36562570,18564.42,25809113,Maharashtra,0.5494091635243366,0.5494091635243366
21,Manipur,673791,410745,1084536,303.22,698038,Manipur,0.6212712164464803,0.6212712164464803
22,Meghalaya,778281,89207,867488,475.99,523299,Meghalaya,0.8971663008594931,0.8971663008594931
23,Mizoram,248890,169798,418688,207.38,190660,Mizoram,0.5944521935188016,0.5944521935188016
24,Nagaland,194912,214785,409697,142.72,308634,Nagaland,0.47574671037376404,0.47574671037376404
25,Odisha,18236245,4965055,23201300,11318.05,16582518,Odisha,0.7860009999439687,0.7860009999439687
26,Puducherry,133017,127206,260223,119.58,164247,Puducherry,0.5111654235021501,0.5111654235021501
27,Punjab,5369690,4167250,9536940,4520.69,6857557,Punjab,0.5630411851180777,0.5630411851180777
28,Rajasthan,23961632,13234244,37195876,20834.22,27644683,Rajasthan,0.6442013087687463,0.6442013087687463
29,Sikkim,65725,29964,95689,55.76,67900,Sikkim,0.6868605586849064,0.6868605586849064
30,Tamil Nadu,9225774,8449947,17675721,6289.21,12802912,Tamil Nadu,0.5219461203308199,0.5219461203308199
31,Telangana,7412630,5420026,12832656,5443.65,8845827,Telangana,0.5776380197521075,0.5776380197521075
32,The Dadra And Nagar Haveli And Daman And Diu,212450,28948,241398,173.37,169565,The Dadra And Nagar Haveli And Daman And Diu,0.8800818565191095,0.8800818565191095
33,Tripura,897070,229903,1126973,639.74,606302,Tripura,0.7959995492349861,0.7959995492349861
34,Uttar Pradesh,72317012,27112922,99429934,53494.93,67395357,Uttar Pradesh,0.7273163029556069,0.7273163029556069
35,Uttarakhand,2610701,1292759,3903460,2666.49,2636025,Uttarakhand,0.6688171519626178,0.6688171519626178
36,West Bengal,40011099,14018976,54030075,25650.07,35044425,West Bengal,0.740533841568793,0.740533841568793
37,Total,372566719,185712206,558278925,263064.9,384754453,Total,0.667348707458373,0.667348707458373
